web-scraper-order,web-scraper-start-url,pagination1,product_name,product_price,product_rating
"1715963601-26","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch UHD 4K IPS Monitor 27UL500-W","Rp 5.149.000","(0)"
"1715963601-27","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 27 inch Full HD IPS 27MP400-B","Rp 2.557.000","(0)"
"1715963601-28","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27UK580-B 27 Inch UHD 4K IPS Monitor with Ergo Stand","Rp 5.696.000","(0)"
"1715963601-29","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor UltraWide 29 Inch 29WP60G-B","Rp 3.264.000","(0)"
"1715963601-30","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Gaming Monitor 27 Inch 27MP60","Rp 3.305.000","(0)"
"1715963601-31","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 Inch IPS 4K UHD VESA HDR400 USB-C Monitor 27UP850","Rp 7.950.000","(0)"
"1715963601-32","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 27 Inch Full HD IPS 27GL650F-B","Rp 3.783.500","(0)"
"1715963601-33","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraWide Dual QHD 49 inch Monitor 49WL95C-W","Rp 18.490.000","(0)"
"1715963601-34","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 34 Inch UltraWide FHD 34WP500-B","Rp 4.995.000","(0)"
"1715963601-35","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP P22va G4 FHD Monitor [453D2AA]","Rp 2.490.000","(0)"
"1715963601-36","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 27 inch UltraGear Nano IPS 1ms Gaming Monitor 27GP850-B","Rp 7.664.000","(0)"
"1715963601-37","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG 31.5 inch UltraGear Gaming Monitor 32GP850-B","Rp 8.094.000","(0)"
"1715963601-38","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG DualUp 28 Inch SDQHD Nano IPS Monitor 28MQ780-B","Rp 8.850.000","(0)"
"1715963601-39","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 34 Inch UltraWide 21:9 WQHD 34WN80C-B","Rp 10.289.000","(0)"
"1715963601-40","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG Monitor 29 inch UltraWide 29WP500-B","Rp 3.050.000","(0)"
"1715963601-41","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","LG UltraGear 27GQ50F-B","Rp 2.675.000","(0)"
"1715963601-42","https://www.bhinneka.com/jual-monitor/GEmGj1V/lg--hp?order=rating+desc","","HP M24fwa FHD Monitor 23.8 inch [34Y23AA]","Rp 2.299.000","(0)"
